order,Vp,numberOfTurn,0,1,2,3,4,5,6
"A1,A2,A0,A5,A3,A4,A6",0.125,4,"['agent_0', True, {1: '12', 2: None, 3: None, 4: None}, 1, 32, 21]","['agent_1', True, {1: '1', 2: None, 3: None, 4: None}, 1, 33, 20]","['agent_2', True, {1: '10', 2: '13', 3: '15', 4: None}, 3, 45, 39]","['agent_3', True, {1: '14', 2: None, 3: None, 4: None}, 1, 33, 22]","['agent_4', True, {1: None, 2: None, 3: None, 4: None}, 0, 44, 40]","['agent_5', True, {1: '11', 2: None, 3: None, 4: None}, 1, 46, 45]","['agent_6', False, {1: None, 2: None, 3: None, 4: None}, 0, 14, 4]"
"A1,A2,A0,A5,A3,A6,A4",0.125,4,"['agent_0', True, {1: '12', 2: None, 3: None, 4: None}, 1, 32, 21]","['agent_1', True, {1: '1', 2: None, 3: None, 4: None}, 1, 33, 20]","['agent_2', True, {1: '10', 2: '13', 3: '15', 4: None}, 3, 45, 39]","['agent_3', True, {1: '14', 2: None, 3: None, 4: None}, 1, 33, 22]","['agent_4', True, {1: None, 2: None, 3: None, 4: None}, 0, 44, 40]","['agent_5', True, {1: '11', 2: None, 3: None, 4: None}, 1, 46, 45]","['agent_6', False, {1: None, 2: None, 3: None, 4: None}, 0, 14, 4]"
"A1,A2,A0,A5,A4,A3,A6",0.125,4,"['agent_0', True, {1: '12', 2: None, 3: None, 4: None}, 1, 32, 21]","['agent_1', True, {1: '1', 2: None, 3: None, 4: None}, 1, 33, 20]","['agent_2', True, {1: '10', 2: '14', 3: '15', 4: None}, 3, 45, 39]","['agent_3', True, {1: None, 2: None, 3: None, 4: None}, 0, 33, 22]","['agent_4', True, {1: '13', 2: None, 3: None, 4: None}, 1, 44, 40]","['agent_5', True, {1: '11', 2: None, 3: None, 4: None}, 1, 46, 45]","['agent_6', False, {1: None, 2: None, 3: None, 4: None}, 0, 14, 4]"
"A1,A2,A0,A5,A4,A6,A3",0.125,4,"['agent_0', True, {1: '12', 2: None, 3: None, 4: None}, 1, 32, 21]","['agent_1', True, {1: '1', 2: None, 3: None, 4: None}, 1, 33, 20]","['agent_2', True, {1: '10', 2: '14', 3: '15', 4: None}, 3, 45, 39]","['agent_3', True, {1: None, 2: None, 3: None, 4: None}, 0, 33, 22]","['agent_4', True, {1: '13', 2: None, 3: None, 4: None}, 1, 44, 40]","['agent_5', True, {1: '11', 2: None, 3: None, 4: None}, 1, 46, 45]","['agent_6', False, {1: None, 2: None, 3: None, 4: None}, 0, 14, 4]"
"A1,A2,A0,A5,A6,A3,A4",0.125,4,"['agent_0', True, {1: '12', 2: None, 3: None, 4: None}, 1, 32, 21]","['agent_1', True, {1: '1', 2: None, 3: None, 4: None}, 1, 33, 20]","['agent_2', True, {1: '10', 2: '13', 3: '15', 4: None}, 3, 45, 39]","['agent_3', True, {1: '14', 2: None, 3: None, 4: None}, 1, 33, 22]","['agent_4', True, {1: None, 2: None, 3: None, 4: None}, 0, 44, 40]","['agent_5', True, {1: '11', 2: None, 3: None, 4: None}, 1, 46, 45]","['agent_6', False, {1: None, 2: None, 3: None, 4: None}, 0, 14, 4]"
"A1,A2,A0,A5,A6,A4,A3",0.125,4,"['agent_0', True, {1: '12', 2: None, 3: None, 4: None}, 1, 32, 21]","['agent_1', True, {1: '1', 2: None, 3: None, 4: None}, 1, 33, 20]","['agent_2', True, {1: '10', 2: '14', 3: '15', 4: None}, 3, 45, 39]","['agent_3', True, {1: None, 2: None, 3: None, 4: None}, 0, 33, 22]","['agent_4', True, {1: '13', 2: None, 3: None, 4: None}, 1, 44, 40]","['agent_5', True, {1: '11', 2: None, 3: None, 4: None}, 1, 46, 45]","['agent_6', False, {1: None, 2: None, 3: None, 4: None}, 0, 14, 4]"
"A1,A2,A0,A6,A3,A4,A5",0.125,3,"['agent_0', True, {1: '12', 2: None, 3: None}, 1, 32, 21]","['agent_1', True, {1: '1', 2: None, 3: None}, 1, 33, 20]","['agent_2', True, {1: '10', 2: '15', 3: None}, 2, 45, 39]","['agent_3', True, {1: '11', 2: None, 3: None}, 1, 33, 22]","['agent_4', True, {1: '13', 2: None, 3: None}, 1, 44, 40]","['agent_5', True, {1: '14', 2: None, 3: None}, 1, 46, 45]","['agent_6', False, {1: None, 2: None, 3: None}, 0, 14, 4]"
"A1,A2,A0,A6,A3,A5,A4",0.125,4,"['agent_0', True, {1: '12', 2: None, 3: None, 4: None}, 1, 32, 21]","['agent_1', True, {1: '1', 2: None, 3: None, 4: None}, 1, 33, 20]","['agent_2', True, {1: '10', 2: '14', 3: '15', 4: None}, 3, 45, 39]","['agent_3', True, {1: '11', 2: None, 3: None, 4: None}, 1, 33, 22]","['agent_4', True, {1: None, 2: None, 3: None, 4: None}, 0, 44, 40]","['agent_5', True, {1: '13', 2: None, 3: None, 4: None}, 1, 46, 45]","['agent_6', False, {1: None, 2: None, 3: None, 4: None}, 0, 14, 4]"
"A1,A2,A0,A6,A4,A3,A5",0.125,3,"['agent_0', True, {1: '12', 2: None, 3: None}, 1, 32, 21]","['agent_1', True, {1: '1', 2: None, 3: None}, 1, 33, 20]","['agent_2', True, {1: '10', 2: '15', 3: None}, 2, 45, 39]","['agent_3', True, {1: '11', 2: None, 3: None}, 1, 33, 22]","['agent_4', True, {1: '13', 2: None, 3: None}, 1, 44, 40]","['agent_5', True, {1: '14', 2: None, 3: None}, 1, 46, 45]","['agent_6', False, {1: None, 2: None, 3: None}, 0, 14, 4]"
"A1,A2,A0,A6,A4,A5,A3",0.125,4,"['agent_0', True, {1: '12', 2: None, 3: None, 4: None}, 1, 32, 21]","['agent_1', True, {1: '1', 2: None, 3: None, 4: None}, 1, 33, 20]","['agent_2', True, {1: '10', 2: '14', 3: '15', 4: None}, 3, 45, 39]","['agent_3', True, {1: None, 2: None, 3: None, 4: None}, 0, 33, 22]","['agent_4', True, {1: '13', 2: None, 3: None, 4: None}, 1, 44, 40]","['agent_5', True, {1: '11', 2: None, 3: None, 4: None}, 1, 46, 45]","['agent_6', False, {1: None, 2: None, 3: None, 4: None}, 0, 14, 4]"
"A1,A2,A0,A6,A5,A3,A4",0.125,4,"['agent_0', True, {1: '12', 2: None, 3: None, 4: None}, 1, 32, 21]","['agent_1', True, {1: '1', 2: None, 3: None, 4: None}, 1, 33, 20]","['agent_2', True, {1: '10', 2: '13', 3: '15', 4: None}, 3, 45, 39]","['agent_3', True, {1: '14', 2: None, 3: None, 4: None}, 1, 33, 22]","['agent_4', True, {1: None, 2: None, 3: None, 4: None}, 0, 44, 40]","['agent_5', True, {1: '11', 2: None, 3: None, 4: None}, 1, 46, 45]","['agent_6', False, {1: None, 2: None, 3: None, 4: None}, 0, 14, 4]"
"A1,A2,A0,A6,A5,A4,A3",0.125,4,"['agent_0', True, {1: '12', 2: None, 3: None, 4: None}, 1, 32, 21]","['agent_1', True, {1: '1', 2: None, 3: None, 4: None}, 1, 33, 20]","['agent_2', True, {1: '10', 2: '14', 3: '15', 4: None}, 3, 45, 39]","['agent_3', True, {1: None, 2: None, 3: None, 4: None}, 0, 33, 22]","['agent_4', True, {1: '13', 2: None, 3: None, 4: None}, 1, 44, 40]","['agent_5', True, {1: '11', 2: None, 3: None, 4: None}, 1, 46, 45]","['agent_6', False, {1: None, 2: None, 3: None, 4: None}, 0, 14, 4]"
"A1,A2,A3,A0,A4,A5,A6",0.125,3,"['agent_0', True, {1: '12', 2: None, 3: None}, 1, 32, 21]","['agent_1', True, {1: '1', 2: None, 3: None}, 1, 33, 20]","['agent_2', True, {1: '10', 2: '15', 3: None}, 2, 45, 39]","['agent_3', True, {1: '11', 2: None, 3: None}, 1, 33, 22]","['agent_4', True, {1: '13', 2: None, 3: None}, 1, 44, 40]","['agent_5', True, {1: '14', 2: None, 3: None}, 1, 46, 45]","['agent_6', False, {1: None, 2: None, 3: None}, 0, 14, 4]"
"A1,A2,A3,A0,A4,A6,A5",0.125,3,"['agent_0', True, {1: '12', 2: None, 3: None}, 1, 32, 21]","['agent_1', True, {1: '1', 2: None, 3: None}, 1, 33, 20]","['agent_2', True, {1: '10', 2: '15', 3: None}, 2, 45, 39]","['agent_3', True, {1: '11', 2: None, 3: None}, 1, 33, 22]","['agent_4', True, {1: '13', 2: None, 3: None}, 1, 44, 40]","['agent_5', True, {1: '14', 2: None, 3: None}, 1, 46, 45]","['agent_6', False, {1: None, 2: None, 3: None}, 0, 14, 4]"
"A1,A2,A3,A0,A5,A4,A6",0.125,4,"['agent_0', True, {1: '12', 2: None, 3: None, 4: None}, 1, 32, 21]","['agent_1', True, {1: '1', 2: None, 3: None, 4: None}, 1, 33, 20]","['agent_2', True, {1: '10', 2: '14', 3: '15', 4: None}, 3, 45, 39]","['agent_3', True, {1: '11', 2: None, 3: None, 4: None}, 1, 33, 22]","['agent_4', True, {1: None, 2: None, 3: None, 4: None}, 0, 44, 40]","['agent_5', True, {1: '13', 2: None, 3: None, 4: None}, 1, 46, 45]","['agent_6', False, {1: None, 2: None, 3: None, 4: None}, 0, 14, 4]"
"A1,A2,A3,A0,A5,A6,A4",0.125,4,"['agent_0', True, {1: '12', 2: None, 3: None, 4: None}, 1, 32, 21]","['agent_1', True, {1: '1', 2: None, 3: None, 4: None}, 1, 33, 20]","['agent_2', True, {1: '10', 2: '14', 3: '15', 4: None}, 3, 45, 39]","['agent_3', True, {1: '11', 2: None, 3: None, 4: None}, 1, 33, 22]","['agent_4', True, {1: None, 2: None, 3: None, 4: None}, 0, 44, 40]","['agent_5', True, {1: '13', 2: None, 3: None, 4: None}, 1, 46, 45]","['agent_6', False, {1: None, 2: None, 3: None, 4: None}, 0, 14, 4]"
"A1,A2,A3,A0,A6,A4,A5",0.125,3,"['agent_0', True, {1: '12', 2: None, 3: None}, 1, 32, 21]","['agent_1', True, {1: '1', 2: None, 3: None}, 1, 33, 20]","['agent_2', True, {1: '10', 2: '15', 3: None}, 2, 45, 39]","['agent_3', True, {1: '11', 2: None, 3: None}, 1, 33, 22]","['agent_4', True, {1: '13', 2: None, 3: None}, 1, 44, 40]","['agent_5', True, {1: '14', 2: None, 3: None}, 1, 46, 45]","['agent_6', False, {1: None, 2: None, 3: None}, 0, 14, 4]"
"A1,A2,A3,A0,A6,A5,A4",0.125,4,"['agent_0', True, {1: '12', 2: None, 3: None, 4: None}, 1, 32, 21]","['agent_1', True, {1: '1', 2: None, 3: None, 4: None}, 1, 33, 20]","['agent_2', True, {1: '10', 2: '14', 3: '15', 4: None}, 3, 45, 39]","['agent_3', True, {1: '11', 2: None, 3: None, 4: None}, 1, 33, 22]","['agent_4', True, {1: None, 2: None, 3: None, 4: None}, 0, 44, 40]","['agent_5', True, {1: '13', 2: None, 3: None, 4: None}, 1, 46, 45]","['agent_6', False, {1: None, 2: None, 3: None, 4: None}, 0, 14, 4]"
"A1,A2,A3,A4,A0,A5,A6",0.125,3,"['agent_0', True, {1: '13', 2: None, 3: None}, 1, 32, 21]","['agent_1', True, {1: '1', 2: None, 3: None}, 1, 33, 20]","['agent_2', True, {1: '10', 2: '15', 3: None}, 2, 45, 39]","['agent_3', True, {1: '11', 2: None, 3: None}, 1, 33, 22]","['agent_4', True, {1: '12', 2: None, 3: None}, 1, 44, 40]","['agent_5', True, {1: '14', 2: None, 3: None}, 1, 46, 45]","['agent_6', False, {1: None, 2: None, 3: None}, 0, 14, 4]"
"A1,A2,A3,A4,A0,A6,A5",0.125,3,"['agent_0', True, {1: '13', 2: None, 3: None}, 1, 32, 21]","['agent_1', True, {1: '1', 2: None, 3: None}, 1, 33, 20]","['agent_2', True, {1: '10', 2: '15', 3: None}, 2, 45, 39]","['agent_3', True, {1: '11', 2: None, 3: None}, 1, 33, 22]","['agent_4', True, {1: '12', 2: None, 3: None}, 1, 44, 40]","['agent_5', True, {1: '14', 2: None, 3: None}, 1, 46, 45]","['agent_6', False, {1: None, 2: None, 3: None}, 0, 14, 4]"
"A1,A2,A3,A4,A5,A0,A6",0.125,4,"['agent_0', True, {1: None, 2: None, 3: None, 4: None}, 0, 32, 21]","['agent_1', True, {1: '1', 2: None, 3: None, 4: None}, 1, 33, 20]","['agent_2', True, {1: '10', 2: '14', 3: '15', 4: None}, 3, 45, 39]","['agent_3', True, {1: '11', 2: None, 3: None, 4: None}, 1, 33, 22]","['agent_4', True, {1: '12', 2: None, 3: None, 4: None}, 1, 44, 40]","['agent_5', True, {1: '13', 2: None, 3: None, 4: None}, 1, 46, 45]","['agent_6', False, {1: None, 2: None, 3: None, 4: None}, 0, 14, 4]"
"A1,A2,A3,A4,A5,A6,A0",0.125,4,"['agent_0', True, {1: None, 2: None, 3: None, 4: None}, 0, 32, 21]","['agent_1', True, {1: '1', 2: None, 3: None, 4: None}, 1, 33, 20]","['agent_2', True, {1: '10', 2: '14', 3: '15', 4: None}, 3, 45, 39]","['agent_3', True, {1: '11', 2: None, 3: None, 4: None}, 1, 33, 22]","['agent_4', True, {1: '12', 2: None, 3: None, 4: None}, 1, 44, 40]","['agent_5', True, {1: '13', 2: None, 3: None, 4: None}, 1, 46, 45]","['agent_6', False, {1: None, 2: None, 3: None, 4: None}, 0, 14, 4]"
"A1,A2,A3,A4,A6,A0,A5",0.125,3,"['agent_0', True, {1: '13', 2: None, 3: None}, 1, 32, 21]","['agent_1', True, {1: '1', 2: None, 3: None}, 1, 33, 20]","['agent_2', True, {1: '10', 2: '15', 3: None}, 2, 45, 39]","['agent_3', True, {1: '11', 2: None, 3: None}, 1, 33, 22]","['agent_4', True, {1: '12', 2: None, 3: None}, 1, 44, 40]","['agent_5', True, {1: '14', 2: None, 3: None}, 1, 46, 45]","['agent_6', False, {1: None, 2: None, 3: None}, 0, 14, 4]"
"A1,A2,A3,A4,A6,A5,A0",0.125,4,"['agent_0', True, {1: None, 2: None, 3: None, 4: None}, 0, 32, 21]","['agent_1', True, {1: '1', 2: None, 3: None, 4: None}, 1, 33, 20]","['agent_2', True, {1: '10', 2: '14', 3: '15', 4: None}, 3, 45, 39]","['agent_3', True, {1: '11', 2: None, 3: None, 4: None}, 1, 33, 22]","['agent_4', True, {1: '12', 2: None, 3: None, 4: None}, 1, 44, 40]","['agent_5', True, {1: '13', 2: None, 3: None, 4: None}, 1, 46, 45]","['agent_6', False, {1: None, 2: None, 3: None, 4: None}, 0, 14, 4]"
"A1,A2,A3,A5,A0,A4,A6",0.125,4,"['agent_0', True, {1: '13', 2: None, 3: None, 4: None}, 1, 32, 21]","['agent_1', True, {1: '1', 2: None, 3: None, 4: None}, 1, 33, 20]","['agent_2', True, {1: '10', 2: '14', 3: '15', 4: None}, 3, 45, 39]","['agent_3', True, {1: '11', 2: None, 3: None, 4: None}, 1, 33, 22]","['agent_4', True, {1: None, 2: None, 3: None, 4: None}, 0, 44, 40]","['agent_5', True, {1: '12', 2: None, 3: None, 4: None}, 1, 46, 45]","['agent_6', False, {1: None, 2: None, 3: None, 4: None}, 0, 14, 4]"
"A1,A2,A3,A5,A0,A6,A4",0.125,4,"['agent_0', True, {1: '13', 2: None, 3: None, 4: None}, 1, 32, 21]","['agent_1', True, {1: '1', 2: None, 3: None, 4: None}, 1, 33, 20]","['agent_2', True, {1: '10', 2: '14', 3: '15', 4: None}, 3, 45, 39]","['agent_3', True, {1: '11', 2: None, 3: None, 4: None}, 1, 33, 22]","['agent_4', True, {1: None, 2: None, 3: None, 4: None}, 0, 44, 40]","['agent_5', True, {1: '12', 2: None, 3: None, 4: None}, 1, 46, 45]","['agent_6', False, {1: None, 2: None, 3: None, 4: None}, 0, 14, 4]"
"A1,A2,A3,A5,A4,A0,A6",0.125,4,"['agent_0', True, {1: None, 2: None, 3: None, 4: None}, 0, 32, 21]","['agent_1', True, {1: '1', 2: None, 3: None, 4: None}, 1, 33, 20]","['agent_2', True, {1: '10', 2: '14', 3: '15', 4: None}, 3, 45, 39]","['agent_3', True, {1: '11', 2: None, 3: None, 4: None}, 1, 33, 22]","['agent_4', True, {1: '13', 2: None, 3: None, 4: None}, 1, 44, 40]","['agent_5', True, {1: '12', 2: None, 3: None, 4: None}, 1, 46, 45]","['agent_6', False, {1: None, 2: None, 3: None, 4: None}, 0, 14, 4]"
"A1,A2,A3,A5,A4,A6,A0",0.125,4,"['agent_0', True, {1: None, 2: None, 3: None, 4: None}, 0, 32, 21]","['agent_1', True, {1: '1', 2: None, 3: None, 4: None}, 1, 33, 20]","['agent_2', True, {1: '10', 2: '14', 3: '15', 4: None}, 3, 45, 39]","['agent_3', True, {1: '11', 2: None, 3: None, 4: None}, 1, 33, 22]","['agent_4', True, {1: '13', 2: None, 3: None, 4: None}, 1, 44, 40]","['agent_5', True, {1: '12', 2: None, 3: None, 4: None}, 1, 46, 45]","['agent_6', False, {1: None, 2: None, 3: None, 4: None}, 0, 14, 4]"
"A1,A2,A3,A5,A6,A0,A4",0.125,4,"['agent_0', True, {1: '13', 2: None, 3: None, 4: None}, 1, 32, 21]","['agent_1', True, {1: '1', 2: None, 3: None, 4: None}, 1, 33, 20]","['agent_2', True, {1: '10', 2: '14', 3: '15', 4: None}, 3, 45, 39]","['agent_3', True, {1: '11', 2: None, 3: None, 4: None}, 1, 33, 22]","['agent_4', True, {1: None, 2: None, 3: None, 4: None}, 0, 44, 40]","['agent_5', True, {1: '12', 2: None, 3: None, 4: None}, 1, 46, 45]","['agent_6', False, {1: None, 2: None, 3: None, 4: None}, 0, 14, 4]"
"A1,A2,A3,A5,A6,A4,A0",0.125,4,"['agent_0', True, {1: None, 2: None, 3: None, 4: None}, 0, 32, 21]","['agent_1', True, {1: '1', 2: None, 3: None, 4: None}, 1, 33, 20]","['agent_2', True, {1: '10', 2: '14', 3: '15', 4: None}, 3, 45, 39]","['agent_3', True, {1: '11', 2: None, 3: None, 4: None}, 1, 33, 22]","['agent_4', True, {1: '13', 2: None, 3: None, 4: None}, 1, 44, 40]","['agent_5', True, {1: '12', 2: None, 3: None, 4: None}, 1, 46, 45]","['agent_6', False, {1: None, 2: None, 3: None, 4: None}, 0, 14, 4]"
"A1,A2,A3,A6,A0,A4,A5",0.125,3,"['agent_0', True, {1: '12', 2: None, 3: None}, 1, 32, 21]","['agent_1', True, {1: '1', 2: None, 3: None}, 1, 33, 20]","['agent_2', True, {1: '10', 2: '15', 3: None}, 2, 45, 39]","['agent_3', True, {1: '11', 2: None, 3: None}, 1, 33, 22]","['agent_4', True, {1: '13', 2: None, 3: None}, 1, 44, 40]","['agent_5', True, {1: '14', 2: None, 3: None}, 1, 46, 45]","['agent_6', False, {1: None, 2: None, 3: None}, 0, 14, 4]"
"A1,A2,A3,A6,A0,A5,A4",0.125,4,"['agent_0', True, {1: '12', 2: None, 3: None, 4: None}, 1, 32, 21]","['agent_1', True, {1: '1', 2: None, 3: None, 4: None}, 1, 33, 20]","['agent_2', True, {1: '10', 2: '14', 3: '15', 4: None}, 3, 45, 39]","['agent_3', True, {1: '11', 2: None, 3: None, 4: None}, 1, 33, 22]","['agent_4', True, {1: None, 2: None, 3: None, 4: None}, 0, 44, 40]","['agent_5', True, {1: '13', 2: None, 3: None, 4: None}, 1, 46, 45]","['agent_6', False, {1: None, 2: None, 3: None, 4: None}, 0, 14, 4]"
"A1,A2,A3,A6,A4,A0,A5",0.125,3,"['agent_0', True, {1: '13', 2: None, 3: None}, 1, 32, 21]","['agent_1', True, {1: '1', 2: None, 3: None}, 1, 33, 20]","['agent_2', True, {1: '10', 2: '15', 3: None}, 2, 45, 39]","['agent_3', True, {1: '11', 2: None, 3: None}, 1, 33, 22]","['agent_4', True, {1: '12', 2: None, 3: None}, 1, 44, 40]","['agent_5', True, {1: '14', 2: None, 3: None}, 1, 46, 45]","['agent_6', False, {1: None, 2: None, 3: None}, 0, 14, 4]"
"A1,A2,A3,A6,A4,A5,A0",0.125,4,"['agent_0', True, {1: None, 2: None, 3: None, 4: None}, 0, 32, 21]","['agent_1', True, {1: '1', 2: None, 3: None, 4: None}, 1, 33, 20]","['agent_2', True, {1: '10', 2: '14', 3: '15', 4: None}, 3, 45, 39]","['agent_3', True, {1: '11', 2: None, 3: None, 4: None}, 1, 33, 22]","['agent_4', True, {1: '12', 2: None, 3: None, 4: None}, 1, 44, 40]","['agent_5', True, {1: '13', 2: None, 3: None, 4: None}, 1, 46, 45]","['agent_6', False, {1: None, 2: None, 3: None, 4: None}, 0, 14, 4]"
"A1,A2,A3,A6,A5,A0,A4",0.125,4,"['agent_0', True, {1: '13', 2: None, 3: None, 4: None}, 1, 32, 21]","['agent_1', True, {1: '1', 2: None, 3: None, 4: None}, 1, 33, 20]","['agent_2', True, {1: '10', 2: '14', 3: '15', 4: None}, 3, 45, 39]","['agent_3', True, {1: '11', 2: None, 3: None, 4: None}, 1, 33, 22]","['agent_4', True, {1: None, 2: None, 3: None, 4: None}, 0, 44, 40]","['agent_5', True, {1: '12', 2: None, 3: None, 4: None}, 1, 46, 45]","['agent_6', False, {1: None, 2: None, 3: None, 4: None}, 0, 14, 4]"
"A1,A2,A3,A6,A5,A4,A0",0.125,4,"['agent_0', True, {1: None, 2: None, 3: None, 4: None}, 0, 32, 21]","['agent_1', True, {1: '1', 2: None, 3: None, 4: None}, 1, 33, 20]","['agent_2', True, {1: '10', 2: '14', 3: '15', 4: None}, 3, 45, 39]","['agent_3', True, {1: '11', 2: None, 3: None, 4: None}, 1, 33, 22]","['agent_4', True, {1: '13', 2: None, 3: None, 4: None}, 1, 44, 40]","['agent_5', True, {1: '12', 2: None, 3: None, 4: None}, 1, 46, 45]","['agent_6', False, {1: None, 2: None, 3: None, 4: None}, 0, 14, 4]"
"A1,A2,A4,A0,A3,A5,A6",0.125,3,"['agent_0', True, {1: '13', 2: None, 3: None}, 1, 32, 21]","['agent_1', True, {1: '1', 2: None, 3: None}, 1, 33, 20]","['agent_2', True, {1: '10', 2: '15', 3: None}, 2, 45, 39]","['agent_3', True, {1: '11', 2: None, 3: None}, 1, 33, 22]","['agent_4', True, {1: '12', 2: None, 3: None}, 1, 44, 40]","['agent_5', True, {1: '14', 2: None, 3: None}, 1, 46, 45]","['agent_6', False, {1: None, 2: None, 3: None}, 0, 14, 4]"
"A1,A2,A4,A0,A3,A6,A5",0.125,3,"['agent_0', True, {1: '13', 2: None, 3: None}, 1, 32, 21]","['agent_1', True, {1: '1', 2: None, 3: None}, 1, 33, 20]","['agent_2', True, {1: '10', 2: '15', 3: None}, 2, 45, 39]","['agent_3', True, {1: '11', 2: None, 3: None}, 1, 33, 22]","['agent_4', True, {1: '12', 2: None, 3: None}, 1, 44, 40]","['agent_5', True, {1: '14', 2: None, 3: None}, 1, 46, 45]","['agent_6', False, {1: None, 2: None, 3: None}, 0, 14, 4]"
"A1,A2,A4,A0,A5,A3,A6",0.125,4,"['agent_0', True, {1: '13', 2: None, 3: None, 4: None}, 1, 32, 21]","['agent_1', True, {1: '1', 2: None, 3: None, 4: None}, 1, 33, 20]","['agent_2', True, {1: '10', 2: '14', 3: '15', 4: None}, 3, 45, 39]","['agent_3', True, {1: None, 2: None, 3: None, 4: None}, 0, 33, 22]","['agent_4', True, {1: '12', 2: None, 3: None, 4: None}, 1, 44, 40]","['agent_5', True, {1: '11', 2: None, 3: None, 4: None}, 1, 46, 45]","['agent_6', False, {1: None, 2: None, 3: None, 4: None}, 0, 14, 4]"
"A1,A2,A4,A0,A5,A6,A3",0.125,4,"['agent_0', True, {1: '13', 2: None, 3: None, 4: None}, 1, 32, 21]","['agent_1', True, {1: '1', 2: None, 3: None, 4: None}, 1, 33, 20]","['agent_2', True, {1: '10', 2: '14', 3: '15', 4: None}, 3, 45, 39]","['agent_3', True, {1: None, 2: None, 3: None, 4: None}, 0, 33, 22]","['agent_4', True, {1: '12', 2: None, 3: None, 4: None}, 1, 44, 40]","['agent_5', True, {1: '11', 2: None, 3: None, 4: None}, 1, 46, 45]","['agent_6', False, {1: None, 2: None, 3: None, 4: None}, 0, 14, 4]"
"A1,A2,A4,A0,A6,A3,A5",0.125,3,"['agent_0', True, {1: '13', 2: None, 3: None}, 1, 32, 21]","['agent_1', True, {1: '1', 2: None, 3: None}, 1, 33, 20]","['agent_2', True, {1: '10', 2: '15', 3: None}, 2, 45, 39]","['agent_3', True, {1: '11', 2: None, 3: None}, 1, 33, 22]","['agent_4', True, {1: '12', 2: None, 3: None}, 1, 44, 40]","['agent_5', True, {1: '14', 2: None, 3: None}, 1, 46, 45]","['agent_6', False, {1: None, 2: None, 3: None}, 0, 14, 4]"
"A1,A2,A4,A0,A6,A5,A3",0.125,4,"['agent_0', True, {1: '13', 2: None, 3: None, 4: None}, 1, 32, 21]","['agent_1', True, {1: '1', 2: None, 3: None, 4: None}, 1, 33, 20]","['agent_2', True, {1: '10', 2: '14', 3: '15', 4: None}, 3, 45, 39]","['agent_3', True, {1: None, 2: None, 3: None, 4: None}, 0, 33, 22]","['agent_4', True, {1: '12', 2: None, 3: None, 4: None}, 1, 44, 40]","['agent_5', True, {1: '11', 2: None, 3: None, 4: None}, 1, 46, 45]","['agent_6', False, {1: None, 2: None, 3: None, 4: None}, 0, 14, 4]"
"A1,A2,A4,A3,A0,A5,A6",0.125,3,"['agent_0', True, {1: '13', 2: None, 3: None}, 1, 32, 21]","['agent_1', True, {1: '1', 2: None, 3: None}, 1, 33, 20]","['agent_2', True, {1: '10', 2: '15', 3: None}, 2, 45, 39]","['agent_3', True, {1: '11', 2: None, 3: None}, 1, 33, 22]","['agent_4', True, {1: '12', 2: None, 3: None}, 1, 44, 40]","['agent_5', True, {1: '14', 2: None, 3: None}, 1, 46, 45]","['agent_6', False, {1: None, 2: None, 3: None}, 0, 14, 4]"
"A1,A2,A4,A3,A0,A6,A5",0.125,3,"['agent_0', True, {1: '13', 2: None, 3: None}, 1, 32, 21]","['agent_1', True, {1: '1', 2: None, 3: None}, 1, 33, 20]","['agent_2', True, {1: '10', 2: '15', 3: None}, 2, 45, 39]","['agent_3', True, {1: '11', 2: None, 3: None}, 1, 33, 22]","['agent_4', True, {1: '12', 2: None, 3: None}, 1, 44, 40]","['agent_5', True, {1: '14', 2: None, 3: None}, 1, 46, 45]","['agent_6', False, {1: None, 2: None, 3: None}, 0, 14, 4]"
"A1,A2,A4,A3,A5,A0,A6",0.125,4,"['agent_0', True, {1: None, 2: None, 3: None, 4: None}, 0, 32, 21]","['agent_1', True, {1: '1', 2: None, 3: None, 4: None}, 1, 33, 20]","['agent_2', True, {1: '10', 2: '14', 3: '15', 4: None}, 3, 45, 39]","['agent_3', True, {1: '11', 2: None, 3: None, 4: None}, 1, 33, 22]","['agent_4', True, {1: '12', 2: None, 3: None, 4: None}, 1, 44, 40]","['agent_5', True, {1: '13', 2: None, 3: None, 4: None}, 1, 46, 45]","['agent_6', False, {1: None, 2: None, 3: None, 4: None}, 0, 14, 4]"
"A1,A2,A4,A3,A5,A6,A0",0.125,4,"['agent_0', True, {1: None, 2: None, 3: None, 4: None}, 0, 32, 21]","['agent_1', True, {1: '1', 2: None, 3: None, 4: None}, 1, 33, 20]","['agent_2', True, {1: '10', 2: '14', 3: '15', 4: None}, 3, 45, 39]","['agent_3', True, {1: '11', 2: None, 3: None, 4: None}, 1, 33, 22]","['agent_4', True, {1: '12', 2: None, 3: None, 4: None}, 1, 44, 40]","['agent_5', True, {1: '13', 2: None, 3: None, 4: None}, 1, 46, 45]","['agent_6', False, {1: None, 2: None, 3: None, 4: None}, 0, 14, 4]"
