order,Vp,numberOfTurn,0,1,2,3,4,5,6
"A2,A6,A4,A3,A1,A5,A0",0.14285714285714285,3,"['agent_0', True, {1: None, 2: None, 3: None}, 0, 22, 10]","['agent_1', True, {1: '13', 2: None, 3: None}, 1, 33, 24]","['agent_2', True, {1: '1', 2: '14', 3: None}, 2, 26, 16]","['agent_3', True, {1: '12', 2: None, 3: None}, 1, 22, 8]","['agent_4', True, {1: '11', 2: None, 3: None}, 1, 38, 32]","['agent_5', True, {1: None, 2: None, 3: None}, 0, 32, 20]","['agent_6', True, {1: '10', 2: None, 3: None}, 1, 30, 20]"
"A2,A6,A4,A3,A5,A0,A1",0.14285714285714285,3,"['agent_0', True, {1: None, 2: None, 3: None}, 0, 22, 10]","['agent_1', True, {1: None, 2: None, 3: None}, 0, 33, 24]","['agent_2', True, {1: '1', 2: '14', 3: None}, 2, 26, 16]","['agent_3', True, {1: '12', 2: None, 3: None}, 1, 22, 8]","['agent_4', True, {1: '11', 2: None, 3: None}, 1, 38, 32]","['agent_5', True, {1: '13', 2: None, 3: None}, 1, 32, 20]","['agent_6', True, {1: '10', 2: None, 3: None}, 1, 30, 20]"
"A2,A6,A4,A3,A5,A1,A0",0.14285714285714285,3,"['agent_0', True, {1: None, 2: None, 3: None}, 0, 22, 10]","['agent_1', True, {1: None, 2: None, 3: None}, 0, 33, 24]","['agent_2', True, {1: '1', 2: '14', 3: None}, 2, 26, 16]","['agent_3', True, {1: '12', 2: None, 3: None}, 1, 22, 8]","['agent_4', True, {1: '11', 2: None, 3: None}, 1, 38, 32]","['agent_5', True, {1: '13', 2: None, 3: None}, 1, 32, 20]","['agent_6', True, {1: '10', 2: None, 3: None}, 1, 30, 20]"
"A2,A6,A4,A5,A0,A1,A3",0.14285714285714285,3,"['agent_0', True, {1: None, 2: None, 3: None}, 0, 22, 10]","['agent_1', True, {1: '13', 2: None, 3: None}, 1, 33, 24]","['agent_2', True, {1: '1', 2: '14', 3: None}, 2, 26, 16]","['agent_3', True, {1: None, 2: None, 3: None}, 0, 22, 8]","['agent_4', True, {1: '11', 2: None, 3: None}, 1, 38, 32]","['agent_5', True, {1: '12', 2: None, 3: None}, 1, 32, 20]","['agent_6', True, {1: '10', 2: None, 3: None}, 1, 30, 20]"
"A2,A6,A4,A5,A0,A3,A1",0.14285714285714285,3,"['agent_0', True, {1: None, 2: None, 3: None}, 0, 22, 10]","['agent_1', True, {1: None, 2: None, 3: None}, 0, 33, 24]","['agent_2', True, {1: '1', 2: '14', 3: None}, 2, 26, 16]","['agent_3', True, {1: '13', 2: None, 3: None}, 1, 22, 8]","['agent_4', True, {1: '11', 2: None, 3: None}, 1, 38, 32]","['agent_5', True, {1: '12', 2: None, 3: None}, 1, 32, 20]","['agent_6', True, {1: '10', 2: None, 3: None}, 1, 30, 20]"
"A2,A6,A4,A5,A1,A0,A3",0.14285714285714285,3,"['agent_0', True, {1: None, 2: None, 3: None}, 0, 22, 10]","['agent_1', True, {1: '13', 2: None, 3: None}, 1, 33, 24]","['agent_2', True, {1: '1', 2: '14', 3: None}, 2, 26, 16]","['agent_3', True, {1: None, 2: None, 3: None}, 0, 22, 8]","['agent_4', True, {1: '11', 2: None, 3: None}, 1, 38, 32]","['agent_5', True, {1: '12', 2: None, 3: None}, 1, 32, 20]","['agent_6', True, {1: '10', 2: None, 3: None}, 1, 30, 20]"
"A2,A6,A4,A5,A1,A3,A0",0.14285714285714285,3,"['agent_0', True, {1: None, 2: None, 3: None}, 0, 22, 10]","['agent_1', True, {1: '13', 2: None, 3: None}, 1, 33, 24]","['agent_2', True, {1: '1', 2: '14', 3: None}, 2, 26, 16]","['agent_3', True, {1: None, 2: None, 3: None}, 0, 22, 8]","['agent_4', True, {1: '11', 2: None, 3: None}, 1, 38, 32]","['agent_5', True, {1: '12', 2: None, 3: None}, 1, 32, 20]","['agent_6', True, {1: '10', 2: None, 3: None}, 1, 30, 20]"
"A2,A6,A4,A5,A3,A0,A1",0.14285714285714285,3,"['agent_0', True, {1: None, 2: None, 3: None}, 0, 22, 10]","['agent_1', True, {1: None, 2: None, 3: None}, 0, 33, 24]","['agent_2', True, {1: '1', 2: '14', 3: None}, 2, 26, 16]","['agent_3', True, {1: '13', 2: None, 3: None}, 1, 22, 8]","['agent_4', True, {1: '11', 2: None, 3: None}, 1, 38, 32]","['agent_5', True, {1: '12', 2: None, 3: None}, 1, 32, 20]","['agent_6', True, {1: '10', 2: None, 3: None}, 1, 30, 20]"
"A2,A6,A4,A5,A3,A1,A0",0.14285714285714285,3,"['agent_0', True, {1: None, 2: None, 3: None}, 0, 22, 10]","['agent_1', True, {1: None, 2: None, 3: None}, 0, 33, 24]","['agent_2', True, {1: '1', 2: '14', 3: None}, 2, 26, 16]","['agent_3', True, {1: '13', 2: None, 3: None}, 1, 22, 8]","['agent_4', True, {1: '11', 2: None, 3: None}, 1, 38, 32]","['agent_5', True, {1: '12', 2: None, 3: None}, 1, 32, 20]","['agent_6', True, {1: '10', 2: None, 3: None}, 1, 30, 20]"
"A2,A6,A5,A0,A1,A3,A4",0.14285714285714285,3,"['agent_0', True, {1: '2', 2: None, 3: None}, 1, 22, 10]","['agent_1', True, {1: '11', 2: None, 3: None}, 1, 33, 24]","['agent_2', True, {1: '1', 2: '13', 3: None}, 2, 26, 16]","['agent_3', True, {1: None, 2: None, 3: None}, 0, 22, 8]","['agent_4', True, {1: None, 2: None, 3: None}, 0, 38, 32]","['agent_5', True, {1: '12', 2: None, 3: None}, 1, 32, 20]","['agent_6', True, {1: '10', 2: None, 3: None}, 1, 30, 20]"
"A2,A6,A5,A0,A1,A4,A3",0.14285714285714285,3,"['agent_0', True, {1: '2', 2: None, 3: None}, 1, 22, 10]","['agent_1', True, {1: '11', 2: None, 3: None}, 1, 33, 24]","['agent_2', True, {1: '1', 2: '13', 3: None}, 2, 26, 16]","['agent_3', True, {1: None, 2: None, 3: None}, 0, 22, 8]","['agent_4', True, {1: None, 2: None, 3: None}, 0, 38, 32]","['agent_5', True, {1: '12', 2: None, 3: None}, 1, 32, 20]","['agent_6', True, {1: '10', 2: None, 3: None}, 1, 30, 20]"
"A2,A6,A5,A0,A3,A1,A4",0.14285714285714285,3,"['agent_0', True, {1: '2', 2: None, 3: None}, 1, 22, 10]","['agent_1', True, {1: None, 2: None, 3: None}, 0, 33, 24]","['agent_2', True, {1: '1', 2: '14', 3: None}, 2, 26, 16]","['agent_3', True, {1: '13', 2: None, 3: None}, 1, 22, 8]","['agent_4', True, {1: None, 2: None, 3: None}, 0, 38, 32]","['agent_5', True, {1: '12', 2: None, 3: None}, 1, 32, 20]","['agent_6', True, {1: '10', 2: None, 3: None}, 1, 30, 20]"
"A2,A6,A5,A0,A3,A4,A1",0.14285714285714285,3,"['agent_0', True, {1: '2', 2: None, 3: None}, 1, 22, 10]","['agent_1', True, {1: None, 2: None, 3: None}, 0, 33, 24]","['agent_2', True, {1: '1', 2: '14', 3: None}, 2, 26, 16]","['agent_3', True, {1: '13', 2: None, 3: None}, 1, 22, 8]","['agent_4', True, {1: None, 2: None, 3: None}, 0, 38, 32]","['agent_5', True, {1: '12', 2: None, 3: None}, 1, 32, 20]","['agent_6', True, {1: '10', 2: None, 3: None}, 1, 30, 20]"
"A2,A6,A5,A0,A4,A1,A3",0.14285714285714285,3,"['agent_0', True, {1: '2', 2: None, 3: None}, 1, 22, 10]","['agent_1', True, {1: None, 2: None, 3: None}, 0, 33, 24]","['agent_2', True, {1: '1', 2: '13', 3: None}, 2, 26, 16]","['agent_3', True, {1: None, 2: None, 3: None}, 0, 22, 8]","['agent_4', True, {1: '11', 2: None, 3: None}, 1, 38, 32]","['agent_5', True, {1: '12', 2: None, 3: None}, 1, 32, 20]","['agent_6', True, {1: '10', 2: None, 3: None}, 1, 30, 20]"
"A2,A6,A5,A0,A4,A3,A1",0.14285714285714285,3,"['agent_0', True, {1: '2', 2: None, 3: None}, 1, 22, 10]","['agent_1', True, {1: None, 2: None, 3: None}, 0, 33, 24]","['agent_2', True, {1: '1', 2: '13', 3: None}, 2, 26, 16]","['agent_3', True, {1: None, 2: None, 3: None}, 0, 22, 8]","['agent_4', True, {1: '11', 2: None, 3: None}, 1, 38, 32]","['agent_5', True, {1: '12', 2: None, 3: None}, 1, 32, 20]","['agent_6', True, {1: '10', 2: None, 3: None}, 1, 30, 20]"
"A2,A6,A5,A1,A0,A3,A4",0.14285714285714285,3,"['agent_0', True, {1: None, 2: None, 3: None}, 0, 22, 10]","['agent_1', True, {1: '11', 2: None, 3: None}, 1, 33, 24]","['agent_2', True, {1: '1', 2: '14', 3: None}, 2, 26, 16]","['agent_3', True, {1: '13', 2: None, 3: None}, 1, 22, 8]","['agent_4', True, {1: None, 2: None, 3: None}, 0, 38, 32]","['agent_5', True, {1: '12', 2: None, 3: None}, 1, 32, 20]","['agent_6', True, {1: '10', 2: None, 3: None}, 1, 30, 20]"
"A2,A6,A5,A1,A0,A4,A3",0.14285714285714285,3,"['agent_0', True, {1: None, 2: None, 3: None}, 0, 22, 10]","['agent_1', True, {1: '11', 2: None, 3: None}, 1, 33, 24]","['agent_2', True, {1: '1', 2: '13', 3: None}, 2, 26, 16]","['agent_3', True, {1: None, 2: None, 3: None}, 0, 22, 8]","['agent_4', True, {1: '14', 2: None, 3: None}, 1, 38, 32]","['agent_5', True, {1: '12', 2: None, 3: None}, 1, 32, 20]","['agent_6', True, {1: '10', 2: None, 3: None}, 1, 30, 20]"
"A2,A6,A5,A1,A3,A0,A4",0.14285714285714285,3,"['agent_0', True, {1: None, 2: None, 3: None}, 0, 22, 10]","['agent_1', True, {1: '11', 2: None, 3: None}, 1, 33, 24]","['agent_2', True, {1: '1', 2: '14', 3: None}, 2, 26, 16]","['agent_3', True, {1: '13', 2: None, 3: None}, 1, 22, 8]","['agent_4', True, {1: None, 2: None, 3: None}, 0, 38, 32]","['agent_5', True, {1: '12', 2: None, 3: None}, 1, 32, 20]","['agent_6', True, {1: '10', 2: None, 3: None}, 1, 30, 20]"
"A2,A6,A5,A1,A3,A4,A0",0.14285714285714285,3,"['agent_0', True, {1: None, 2: None, 3: None}, 0, 22, 10]","['agent_1', True, {1: '11', 2: None, 3: None}, 1, 33, 24]","['agent_2', True, {1: '1', 2: '14', 3: None}, 2, 26, 16]","['agent_3', True, {1: '13', 2: None, 3: None}, 1, 22, 8]","['agent_4', True, {1: None, 2: None, 3: None}, 0, 38, 32]","['agent_5', True, {1: '12', 2: None, 3: None}, 1, 32, 20]","['agent_6', True, {1: '10', 2: None, 3: None}, 1, 30, 20]"
"A2,A6,A5,A1,A4,A0,A3",0.14285714285714285,3,"['agent_0', True, {1: None, 2: None, 3: None}, 0, 22, 10]","['agent_1', True, {1: '11', 2: None, 3: None}, 1, 33, 24]","['agent_2', True, {1: '1', 2: '13', 3: None}, 2, 26, 16]","['agent_3', True, {1: None, 2: None, 3: None}, 0, 22, 8]","['agent_4', True, {1: '14', 2: None, 3: None}, 1, 38, 32]","['agent_5', True, {1: '12', 2: None, 3: None}, 1, 32, 20]","['agent_6', True, {1: '10', 2: None, 3: None}, 1, 30, 20]"
"A2,A6,A5,A1,A4,A3,A0",0.14285714285714285,3,"['agent_0', True, {1: None, 2: None, 3: None}, 0, 22, 10]","['agent_1', True, {1: '11', 2: None, 3: None}, 1, 33, 24]","['agent_2', True, {1: '1', 2: '13', 3: None}, 2, 26, 16]","['agent_3', True, {1: None, 2: None, 3: None}, 0, 22, 8]","['agent_4', True, {1: '14', 2: None, 3: None}, 1, 38, 32]","['agent_5', True, {1: '12', 2: None, 3: None}, 1, 32, 20]","['agent_6', True, {1: '10', 2: None, 3: None}, 1, 30, 20]"
"A2,A6,A5,A3,A0,A1,A4",0.14285714285714285,3,"['agent_0', True, {1: None, 2: None, 3: None}, 0, 22, 10]","['agent_1', True, {1: '11', 2: None, 3: None}, 1, 33, 24]","['agent_2', True, {1: '1', 2: '14', 3: None}, 2, 26, 16]","['agent_3', True, {1: '13', 2: None, 3: None}, 1, 22, 8]","['agent_4', True, {1: None, 2: None, 3: None}, 0, 38, 32]","['agent_5', True, {1: '12', 2: None, 3: None}, 1, 32, 20]","['agent_6', True, {1: '10', 2: None, 3: None}, 1, 30, 20]"
"A2,A6,A5,A3,A0,A4,A1",0.14285714285714285,3,"['agent_0', True, {1: None, 2: None, 3: None}, 0, 22, 10]","['agent_1', True, {1: None, 2: None, 3: None}, 0, 33, 24]","['agent_2', True, {1: '1', 2: '14', 3: None}, 2, 26, 16]","['agent_3', True, {1: '13', 2: None, 3: None}, 1, 22, 8]","['agent_4', True, {1: '11', 2: None, 3: None}, 1, 38, 32]","['agent_5', True, {1: '12', 2: None, 3: None}, 1, 32, 20]","['agent_6', True, {1: '10', 2: None, 3: None}, 1, 30, 20]"
"A2,A6,A5,A3,A1,A0,A4",0.14285714285714285,3,"['agent_0', True, {1: None, 2: None, 3: None}, 0, 22, 10]","['agent_1', True, {1: '11', 2: None, 3: None}, 1, 33, 24]","['agent_2', True, {1: '1', 2: '14', 3: None}, 2, 26, 16]","['agent_3', True, {1: '13', 2: None, 3: None}, 1, 22, 8]","['agent_4', True, {1: None, 2: None, 3: None}, 0, 38, 32]","['agent_5', True, {1: '12', 2: None, 3: None}, 1, 32, 20]","['agent_6', True, {1: '10', 2: None, 3: None}, 1, 30, 20]"
"A2,A6,A5,A3,A1,A4,A0",0.14285714285714285,3,"['agent_0', True, {1: None, 2: None, 3: None}, 0, 22, 10]","['agent_1', True, {1: '11', 2: None, 3: None}, 1, 33, 24]","['agent_2', True, {1: '1', 2: '14', 3: None}, 2, 26, 16]","['agent_3', True, {1: '13', 2: None, 3: None}, 1, 22, 8]","['agent_4', True, {1: None, 2: None, 3: None}, 0, 38, 32]","['agent_5', True, {1: '12', 2: None, 3: None}, 1, 32, 20]","['agent_6', True, {1: '10', 2: None, 3: None}, 1, 30, 20]"
"A2,A6,A5,A3,A4,A0,A1",0.14285714285714285,3,"['agent_0', True, {1: None, 2: None, 3: None}, 0, 22, 10]","['agent_1', True, {1: None, 2: None, 3: None}, 0, 33, 24]","['agent_2', True, {1: '1', 2: '14', 3: None}, 2, 26, 16]","['agent_3', True, {1: '13', 2: None, 3: None}, 1, 22, 8]","['agent_4', True, {1: '11', 2: None, 3: None}, 1, 38, 32]","['agent_5', True, {1: '12', 2: None, 3: None}, 1, 32, 20]","['agent_6', True, {1: '10', 2: None, 3: None}, 1, 30, 20]"
"A2,A6,A5,A3,A4,A1,A0",0.14285714285714285,3,"['agent_0', True, {1: None, 2: None, 3: None}, 0, 22, 10]","['agent_1', True, {1: None, 2: None, 3: None}, 0, 33, 24]","['agent_2', True, {1: '1', 2: '14', 3: None}, 2, 26, 16]","['agent_3', True, {1: '13', 2: None, 3: None}, 1, 22, 8]","['agent_4', True, {1: '11', 2: None, 3: None}, 1, 38, 32]","['agent_5', True, {1: '12', 2: None, 3: None}, 1, 32, 20]","['agent_6', True, {1: '10', 2: None, 3: None}, 1, 30, 20]"
"A2,A6,A5,A4,A0,A1,A3",0.14285714285714285,3,"['agent_0', True, {1: None, 2: None, 3: None}, 0, 22, 10]","['agent_1', True, {1: '13', 2: None, 3: None}, 1, 33, 24]","['agent_2', True, {1: '1', 2: '14', 3: None}, 2, 26, 16]","['agent_3', True, {1: None, 2: None, 3: None}, 0, 22, 8]","['agent_4', True, {1: '11', 2: None, 3: None}, 1, 38, 32]","['agent_5', True, {1: '12', 2: None, 3: None}, 1, 32, 20]","['agent_6', True, {1: '10', 2: None, 3: None}, 1, 30, 20]"
"A2,A6,A5,A4,A0,A3,A1",0.14285714285714285,3,"['agent_0', True, {1: None, 2: None, 3: None}, 0, 22, 10]","['agent_1', True, {1: None, 2: None, 3: None}, 0, 33, 24]","['agent_2', True, {1: '1', 2: '14', 3: None}, 2, 26, 16]","['agent_3', True, {1: '13', 2: None, 3: None}, 1, 22, 8]","['agent_4', True, {1: '11', 2: None, 3: None}, 1, 38, 32]","['agent_5', True, {1: '12', 2: None, 3: None}, 1, 32, 20]","['agent_6', True, {1: '10', 2: None, 3: None}, 1, 30, 20]"
"A2,A6,A5,A4,A1,A0,A3",0.14285714285714285,3,"['agent_0', True, {1: None, 2: None, 3: None}, 0, 22, 10]","['agent_1', True, {1: '13', 2: None, 3: None}, 1, 33, 24]","['agent_2', True, {1: '1', 2: '14', 3: None}, 2, 26, 16]","['agent_3', True, {1: None, 2: None, 3: None}, 0, 22, 8]","['agent_4', True, {1: '11', 2: None, 3: None}, 1, 38, 32]","['agent_5', True, {1: '12', 2: None, 3: None}, 1, 32, 20]","['agent_6', True, {1: '10', 2: None, 3: None}, 1, 30, 20]"
"A2,A6,A5,A4,A1,A3,A0",0.14285714285714285,3,"['agent_0', True, {1: None, 2: None, 3: None}, 0, 22, 10]","['agent_1', True, {1: '13', 2: None, 3: None}, 1, 33, 24]","['agent_2', True, {1: '1', 2: '14', 3: None}, 2, 26, 16]","['agent_3', True, {1: None, 2: None, 3: None}, 0, 22, 8]","['agent_4', True, {1: '11', 2: None, 3: None}, 1, 38, 32]","['agent_5', True, {1: '12', 2: None, 3: None}, 1, 32, 20]","['agent_6', True, {1: '10', 2: None, 3: None}, 1, 30, 20]"
"A2,A6,A5,A4,A3,A0,A1",0.14285714285714285,3,"['agent_0', True, {1: None, 2: None, 3: None}, 0, 22, 10]","['agent_1', True, {1: None, 2: None, 3: None}, 0, 33, 24]","['agent_2', True, {1: '1', 2: '14', 3: None}, 2, 26, 16]","['agent_3', True, {1: '13', 2: None, 3: None}, 1, 22, 8]","['agent_4', True, {1: '11', 2: None, 3: None}, 1, 38, 32]","['agent_5', True, {1: '12', 2: None, 3: None}, 1, 32, 20]","['agent_6', True, {1: '10', 2: None, 3: None}, 1, 30, 20]"
"A2,A6,A5,A4,A3,A1,A0",0.14285714285714285,3,"['agent_0', True, {1: None, 2: None, 3: None}, 0, 22, 10]","['agent_1', True, {1: None, 2: None, 3: None}, 0, 33, 24]","['agent_2', True, {1: '1', 2: '14', 3: None}, 2, 26, 16]","['agent_3', True, {1: '13', 2: None, 3: None}, 1, 22, 8]","['agent_4', True, {1: '11', 2: None, 3: None}, 1, 38, 32]","['agent_5', True, {1: '12', 2: None, 3: None}, 1, 32, 20]","['agent_6', True, {1: '10', 2: None, 3: None}, 1, 30, 20]"
"A3,A0,A1,A2,A4,A5,A6",0.14285714285714285,2,"['agent_0', True, {1: '1', 2: None}, 1, 22, 10]","['agent_1', True, {1: '11', 2: None}, 1, 33, 24]","['agent_2', True, {1: '10', 2: None}, 1, 26, 16]","['agent_3', True, {1: '12', 2: None}, 1, 22, 8]","['agent_4', True, {1: '14', 2: None}, 1, 38, 32]","['agent_5', True, {1: None, 2: None}, 0, 32, 20]","['agent_6', True, {1: '13', 2: None}, 1, 30, 20]"
"A3,A0,A1,A2,A4,A6,A5",0.14285714285714285,2,"['agent_0', True, {1: '1', 2: None}, 1, 22, 10]","['agent_1', True, {1: '11', 2: None}, 1, 33, 24]","['agent_2', True, {1: '10', 2: None}, 1, 26, 16]","['agent_3', True, {1: '12', 2: None}, 1, 22, 8]","['agent_4', True, {1: '14', 2: None}, 1, 38, 32]","['agent_5', True, {1: None, 2: None}, 0, 32, 20]","['agent_6', True, {1: '13', 2: None}, 1, 30, 20]"
"A3,A0,A1,A2,A5,A4,A6",0.14285714285714285,2,"['agent_0', True, {1: '1', 2: None}, 1, 22, 10]","['agent_1', True, {1: '11', 2: None}, 1, 33, 24]","['agent_2', True, {1: '10', 2: None}, 1, 26, 16]","['agent_3', True, {1: '12', 2: None}, 1, 22, 8]","['agent_4', True, {1: None, 2: None}, 0, 38, 32]","['agent_5', True, {1: '13', 2: None}, 1, 32, 20]","['agent_6', True, {1: '14', 2: None}, 1, 30, 20]"
"A3,A0,A1,A2,A5,A6,A4",0.14285714285714285,2,"['agent_0', True, {1: '1', 2: None}, 1, 22, 10]","['agent_1', True, {1: '11', 2: None}, 1, 33, 24]","['agent_2', True, {1: '10', 2: None}, 1, 26, 16]","['agent_3', True, {1: '12', 2: None}, 1, 22, 8]","['agent_4', True, {1: None, 2: None}, 0, 38, 32]","['agent_5', True, {1: '13', 2: None}, 1, 32, 20]","['agent_6', True, {1: '14', 2: None}, 1, 30, 20]"
"A3,A0,A1,A2,A6,A4,A5",0.14285714285714285,3,"['agent_0', True, {1: '1', 2: None, 3: None}, 1, 22, 10]","['agent_1', True, {1: '11', 2: None, 3: None}, 1, 33, 24]","['agent_2', True, {1: '10', 2: '14', 3: None}, 2, 26, 16]","['agent_3', True, {1: '12', 2: None, 3: None}, 1, 22, 8]","['agent_4', True, {1: None, 2: None, 3: None}, 0, 38, 32]","['agent_5', True, {1: None, 2: None, 3: None}, 0, 32, 20]","['agent_6', True, {1: '13', 2: None, 3: None}, 1, 30, 20]"
"A3,A0,A1,A2,A6,A5,A4",0.14285714285714285,3,"['agent_0', True, {1: '1', 2: None, 3: None}, 1, 22, 10]","['agent_1', True, {1: '11', 2: None, 3: None}, 1, 33, 24]","['agent_2', True, {1: '10', 2: '14', 3: None}, 2, 26, 16]","['agent_3', True, {1: '12', 2: None, 3: None}, 1, 22, 8]","['agent_4', True, {1: None, 2: None, 3: None}, 0, 38, 32]","['agent_5', True, {1: None, 2: None, 3: None}, 0, 32, 20]","['agent_6', True, {1: '13', 2: None, 3: None}, 1, 30, 20]"
"A3,A0,A1,A4,A2,A5,A6",0.14285714285714285,2,"['agent_0', True, {1: '1', 2: None}, 1, 22, 10]","['agent_1', True, {1: '11', 2: None}, 1, 33, 24]","['agent_2', True, {1: '13', 2: None}, 1, 26, 16]","['agent_3', True, {1: '12', 2: None}, 1, 22, 8]","['agent_4', True, {1: '10', 2: None}, 1, 38, 32]","['agent_5', True, {1: None, 2: None}, 0, 32, 20]","['agent_6', True, {1: '14', 2: None}, 1, 30, 20]"
"A3,A0,A1,A4,A2,A6,A5",0.14285714285714285,2,"['agent_0', True, {1: '1', 2: None}, 1, 22, 10]","['agent_1', True, {1: '11', 2: None}, 1, 33, 24]","['agent_2', True, {1: '13', 2: None}, 1, 26, 16]","['agent_3', True, {1: '12', 2: None}, 1, 22, 8]","['agent_4', True, {1: '10', 2: None}, 1, 38, 32]","['agent_5', True, {1: None, 2: None}, 0, 32, 20]","['agent_6', True, {1: '14', 2: None}, 1, 30, 20]"
"A3,A0,A1,A4,A5,A2,A6",0.14285714285714285,2,"['agent_0', True, {1: '1', 2: None}, 1, 22, 10]","['agent_1', True, {1: '11', 2: None}, 1, 33, 24]","['agent_2', True, {1: '14', 2: None}, 1, 26, 16]","['agent_3', True, {1: '12', 2: None}, 1, 22, 8]","['agent_4', True, {1: '10', 2: None}, 1, 38, 32]","['agent_5', True, {1: '13', 2: None}, 1, 32, 20]","['agent_6', True, {1: None, 2: None}, 0, 30, 20]"
"A3,A0,A1,A4,A5,A6,A2",0.14285714285714285,2,"['agent_0', True, {1: '1', 2: None}, 1, 22, 10]","['agent_1', True, {1: '11', 2: None}, 1, 33, 24]","['agent_2', True, {1: None, 2: None}, 0, 26, 16]","['agent_3', True, {1: '12', 2: None}, 1, 22, 8]","['agent_4', True, {1: '10', 2: None}, 1, 38, 32]","['agent_5', True, {1: '13', 2: None}, 1, 32, 20]","['agent_6', True, {1: '14', 2: None}, 1, 30, 20]"
"A3,A0,A1,A4,A6,A2,A5",0.14285714285714285,2,"['agent_0', True, {1: '1', 2: None}, 1, 22, 10]","['agent_1', True, {1: '11', 2: None}, 1, 33, 24]","['agent_2', True, {1: '14', 2: None}, 1, 26, 16]","['agent_3', True, {1: '12', 2: None}, 1, 22, 8]","['agent_4', True, {1: '10', 2: None}, 1, 38, 32]","['agent_5', True, {1: None, 2: None}, 0, 32, 20]","['agent_6', True, {1: '13', 2: None}, 1, 30, 20]"
"A3,A0,A1,A4,A6,A5,A2",0.14285714285714285,2,"['agent_0', True, {1: '1', 2: None}, 1, 22, 10]","['agent_1', True, {1: '11', 2: None}, 1, 33, 24]","['agent_2', True, {1: '14', 2: None}, 1, 26, 16]","['agent_3', True, {1: '12', 2: None}, 1, 22, 8]","['agent_4', True, {1: '10', 2: None}, 1, 38, 32]","['agent_5', True, {1: None, 2: None}, 0, 32, 20]","['agent_6', True, {1: '13', 2: None}, 1, 30, 20]"
"A3,A0,A1,A5,A2,A4,A6",0.14285714285714285,2,"['agent_0', True, {1: '1', 2: None}, 1, 22, 10]","['agent_1', True, {1: '11', 2: None}, 1, 33, 24]","['agent_2', True, {1: '13', 2: None}, 1, 26, 16]","['agent_3', True, {1: '12', 2: None}, 1, 22, 8]","['agent_4', True, {1: None, 2: None}, 0, 38, 32]","['agent_5', True, {1: '10', 2: None}, 1, 32, 20]","['agent_6', True, {1: '14', 2: None}, 1, 30, 20]"
"A3,A0,A1,A5,A2,A6,A4",0.14285714285714285,2,"['agent_0', True, {1: '1', 2: None}, 1, 22, 10]","['agent_1', True, {1: '11', 2: None}, 1, 33, 24]","['agent_2', True, {1: '13', 2: None}, 1, 26, 16]","['agent_3', True, {1: '12', 2: None}, 1, 22, 8]","['agent_4', True, {1: None, 2: None}, 0, 38, 32]","['agent_5', True, {1: '10', 2: None}, 1, 32, 20]","['agent_6', True, {1: '14', 2: None}, 1, 30, 20]"
"A3,A0,A1,A5,A4,A2,A6",0.14285714285714285,2,"['agent_0', True, {1: '1', 2: None}, 1, 22, 10]","['agent_1', True, {1: '11', 2: None}, 1, 33, 24]","['agent_2', True, {1: '13', 2: None}, 1, 26, 16]","['agent_3', True, {1: '12', 2: None}, 1, 22, 8]","['agent_4', True, {1: '14', 2: None}, 1, 38, 32]","['agent_5', True, {1: '10', 2: None}, 1, 32, 20]","['agent_6', True, {1: None, 2: None}, 0, 30, 20]"
"A3,A0,A1,A5,A4,A6,A2",0.14285714285714285,2,"['agent_0', True, {1: '1', 2: None}, 1, 22, 10]","['agent_1', True, {1: '11', 2: None}, 1, 33, 24]","['agent_2', True, {1: None, 2: None}, 0, 26, 16]","['agent_3', True, {1: '12', 2: None}, 1, 22, 8]","['agent_4', True, {1: '14', 2: None}, 1, 38, 32]","['agent_5', True, {1: '10', 2: None}, 1, 32, 20]","['agent_6', True, {1: '13', 2: None}, 1, 30, 20]"
"A3,A0,A1,A5,A6,A2,A4",0.14285714285714285,2,"['agent_0', True, {1: '1', 2: None}, 1, 22, 10]","['agent_1', True, {1: '11', 2: None}, 1, 33, 24]","['agent_2', True, {1: '14', 2: None}, 1, 26, 16]","['agent_3', True, {1: '12', 2: None}, 1, 22, 8]","['agent_4', True, {1: None, 2: None}, 0, 38, 32]","['agent_5', True, {1: '10', 2: None}, 1, 32, 20]","['agent_6', True, {1: '13', 2: None}, 1, 30, 20]"
"A3,A0,A1,A5,A6,A4,A2",0.14285714285714285,2,"['agent_0', True, {1: '1', 2: None}, 1, 22, 10]","['agent_1', True, {1: '11', 2: None}, 1, 33, 24]","['agent_2', True, {1: '14', 2: None}, 1, 26, 16]","['agent_3', True, {1: '12', 2: None}, 1, 22, 8]","['agent_4', True, {1: None, 2: None}, 0, 38, 32]","['agent_5', True, {1: '10', 2: None}, 1, 32, 20]","['agent_6', True, {1: '13', 2: None}, 1, 30, 20]"
